Round 1: Acc: 0.52800	 Loss: 0.69354	 Msg_len: 20.000	 Edit_Dist: 13 
Round 2: Acc: 0.55600	 Loss: 0.68568	 Msg_len: 20.000	 Edit_Dist: 12 
Round 3: Acc: 0.60300	 Loss: 0.64107	 Msg_len: 20.000	 Edit_Dist: 4 
Round 4: Acc: 0.69200	 Loss: 0.54513	 Msg_len: 20.000	 Edit_Dist: 6 
Round 5: Acc: 0.76000	 Loss: 0.51412	 Msg_len: 20.000	 Edit_Dist: 9 
Round 6: Acc: 0.72100	 Loss: 0.51843	 Msg_len: 20.000	 Edit_Dist: 4 
Round 7: Acc: 0.75100	 Loss: 0.48425	 Msg_len: 20.000	 Edit_Dist: 9 
Round 8: Acc: 0.72000	 Loss: 0.43388	 Msg_len: 20.000	 Edit_Dist: 8 
Round 9: Acc: 0.79500	 Loss: 0.45781	 Msg_len: 20.000	 Edit_Dist: 9 
Round 10: Acc: 0.80900	 Loss: 0.44632	 Msg_len: 20.000	 Edit_Dist: 2 
Round 11: Acc: 0.84200	 Loss: 0.41339	 Msg_len: 20.000	 Edit_Dist: 2 
Round 12: Acc: 0.75400	 Loss: 0.42634	 Msg_len: 20.000	 Edit_Dist: 1 
Round 13: Acc: 0.73800	 Loss: 0.43877	 Msg_len: 20.000	 Edit_Dist: 7 
Round 14: Acc: 0.75100	 Loss: 0.40547	 Msg_len: 20.000	 Edit_Dist: 1 
Round 15: Acc: 0.76300	 Loss: 0.45439	 Msg_len: 20.000	 Edit_Dist: 3 
Round 16: Acc: 0.78500	 Loss: 0.38375	 Msg_len: 20.000	 Edit_Dist: 4 
Round 17: Acc: 0.79500	 Loss: 0.35336	 Msg_len: 20.000	 Edit_Dist: 6 
Round 18: Acc: 0.76700	 Loss: 0.41971	 Msg_len: 20.000	 Edit_Dist: 10 
Round 19: Acc: 0.75500	 Loss: 0.36515	 Msg_len: 20.000	 Edit_Dist: 9 
Round 20: Acc: 0.81200	 Loss: 0.41055	 Msg_len: 20.000	 Edit_Dist: 1 
Round 21: Acc: 0.80200	 Loss: 0.43801	 Msg_len: 20.000	 Edit_Dist: 5 
Round 22: Acc: 0.77700	 Loss: 0.41283	 Msg_len: 20.000	 Edit_Dist: 6 
Round 23: Acc: 0.82700	 Loss: 0.40170	 Msg_len: 20.000	 Edit_Dist: 6 
Round 24: Acc: 0.79000	 Loss: 0.35826	 Msg_len: 20.000	 Edit_Dist: 6 
Round 25: Acc: 0.79100	 Loss: 0.43719	 Msg_len: 20.000	 Edit_Dist: 5 
Round 26: Acc: 0.80000	 Loss: 0.35881	 Msg_len: 20.000	 Edit_Dist: 7 
Round 27: Acc: 0.80700	 Loss: 0.34203	 Msg_len: 20.000	 Edit_Dist: 7 
Round 28: Acc: 0.83200	 Loss: 0.37793	 Msg_len: 20.000	 Edit_Dist: 4 
Round 29: Acc: 0.85100	 Loss: 0.35285	 Msg_len: 20.000	 Edit_Dist: 6 
Round 30: Acc: 0.83900	 Loss: 0.36344	 Msg_len: 20.000	 Edit_Dist: 5 
Round 31: Acc: 0.85400	 Loss: 0.30814	 Msg_len: 20.000	 Edit_Dist: 5 
Round 32: Acc: 0.85300	 Loss: 0.35809	 Msg_len: 20.000	 Edit_Dist: 5 
Round 33: Acc: 0.81500	 Loss: 0.37309	 Msg_len: 20.000	 Edit_Dist: 5 
Round 34: Acc: 0.82300	 Loss: 0.36999	 Msg_len: 20.000	 Edit_Dist: 4 
Round 35: Acc: 0.87600	 Loss: 0.31958	 Msg_len: 20.000	 Edit_Dist: 4 
Round 36: Acc: 0.82300	 Loss: 0.39328	 Msg_len: 20.000	 Edit_Dist: 7 
Round 37: Acc: 0.85000	 Loss: 0.34407	 Msg_len: 20.000	 Edit_Dist: 5 
Round 38: Acc: 0.87700	 Loss: 0.32551	 Msg_len: 20.000	 Edit_Dist: 4 
Round 39: Acc: 0.83300	 Loss: 0.30113	 Msg_len: 20.000	 Edit_Dist: 6 
Round 40: Acc: 0.76500	 Loss: 0.61953	 Msg_len: 19.889	 Edit_Dist: 8 
Round 41: Acc: 0.73000	 Loss: 0.48771	 Msg_len: 20.000	 Edit_Dist: 14 
Round 42: Acc: 0.78900	 Loss: 0.37825	 Msg_len: 20.000	 Edit_Dist: 16 
