Round 63: Acc: 0.75100	 Loss: 0.56176	 Msg_len: 20.000	 Edit_Dist: 20 
Round 64: Acc: 0.75100	 Loss: 0.56126	 Msg_len: 20.000	 Edit_Dist: 20 
Round 65: Acc: 0.74900	 Loss: 0.56307	 Msg_len: 20.000	 Edit_Dist: 20 
Round 66: Acc: 0.75400	 Loss: 0.55891	 Msg_len: 20.000	 Edit_Dist: 20 
Round 67: Acc: 0.75400	 Loss: 0.55841	 Msg_len: 20.000	 Edit_Dist: 20 
Round 68: Acc: 0.75500	 Loss: 0.55705	 Msg_len: 20.000	 Edit_Dist: 20 
Round 69: Acc: 0.75700	 Loss: 0.55401	 Msg_len: 20.000	 Edit_Dist: 20 
Round 70: Acc: 0.75700	 Loss: 0.55538	 Msg_len: 20.000	 Edit_Dist: 20 
Round 71: Acc: 0.75400	 Loss: 0.55818	 Msg_len: 20.000	 Edit_Dist: 20 
Round 72: Acc: 0.75600	 Loss: 0.55580	 Msg_len: 20.000	 Edit_Dist: 20 
Round 73: Acc: 0.75200	 Loss: 0.56060	 Msg_len: 20.000	 Edit_Dist: 20 
Round 74: Acc: 0.75300	 Loss: 0.55928	 Msg_len: 20.000	 Edit_Dist: 20 
Round 75: Acc: 0.74800	 Loss: 0.56487	 Msg_len: 20.000	 Edit_Dist: 20 
Round 76: Acc: 0.75300	 Loss: 0.55903	 Msg_len: 20.000	 Edit_Dist: 20 
Round 77: Acc: 0.75200	 Loss: 0.56014	 Msg_len: 20.000	 Edit_Dist: 20 
Round 78: Acc: 0.75600	 Loss: 0.55566	 Msg_len: 20.000	 Edit_Dist: 20 
Round 79: Acc: 0.75600	 Loss: 0.55631	 Msg_len: 20.000	 Edit_Dist: 20 
Round 80: Acc: 0.75600	 Loss: 0.55556	 Msg_len: 20.000	 Edit_Dist: 20 
Round 81: Acc: 0.75200	 Loss: 0.56037	 Msg_len: 20.000	 Edit_Dist: 20 
Round 82: Acc: 0.75000	 Loss: 0.56241	 Msg_len: 20.000	 Edit_Dist: 20 
Round 83: Acc: 0.75500	 Loss: 0.55705	 Msg_len: 20.000	 Edit_Dist: 20 
Round 84: Acc: 0.75500	 Loss: 0.55732	 Msg_len: 20.000	 Edit_Dist: 20 
Round 85: Acc: 0.75300	 Loss: 0.55970	 Msg_len: 20.000	 Edit_Dist: 20 
