Round 63: Acc: 0.81900	 Loss: 0.35832	 Msg_len: 20.000	 Edit_Dist: 6 
Round 64: Acc: 0.88900	 Loss: 0.31326	 Msg_len: 18.639	 Edit_Dist: 2 
Round 65: Acc: 0.85200	 Loss: 0.28563	 Msg_len: 19.983	 Edit_Dist: 5 
Round 66: Acc: 0.88200	 Loss: 0.29713	 Msg_len: 19.895	 Edit_Dist: 4 
Round 67: Acc: 0.90000	 Loss: 0.27217	 Msg_len: 20.000	 Edit_Dist: 3 
Round 68: Acc: 0.88600	 Loss: 0.30218	 Msg_len: 20.000	 Edit_Dist: 4 
Round 69: Acc: 0.89600	 Loss: 0.23684	 Msg_len: 20.000	 Edit_Dist: 4 
Round 70: Acc: 0.89300	 Loss: 0.26078	 Msg_len: 20.000	 Edit_Dist: 3 
Round 71: Acc: 0.87200	 Loss: 0.29506	 Msg_len: 20.000	 Edit_Dist: 5 
Round 72: Acc: 0.90900	 Loss: 0.25937	 Msg_len: 16.936	 Edit_Dist: 7 
Round 73: Acc: 0.88000	 Loss: 0.26965	 Msg_len: 19.449	 Edit_Dist: 7 
Round 74: Acc: 0.86600	 Loss: 0.27056	 Msg_len: 19.982	 Edit_Dist: 6 
Round 75: Acc: 0.86900	 Loss: 0.26180	 Msg_len: 20.000	 Edit_Dist: 5 
Round 76: Acc: 0.84000	 Loss: 0.30465	 Msg_len: 20.000	 Edit_Dist: 4 
Round 77: Acc: 0.88100	 Loss: 0.29097	 Msg_len: 20.000	 Edit_Dist: 5 
Round 78: Acc: 0.89900	 Loss: 0.23382	 Msg_len: 20.000	 Edit_Dist: 6 
Round 79: Acc: 0.89800	 Loss: 0.29214	 Msg_len: 18.698	 Edit_Dist: 7 
Round 80: Acc: 0.90700	 Loss: 0.24825	 Msg_len: 19.040	 Edit_Dist: 5 
Round 81: Acc: 0.91400	 Loss: 0.23283	 Msg_len: 19.945	 Edit_Dist: 4 
Round 82: Acc: 0.88500	 Loss: 0.25464	 Msg_len: 20.000	 Edit_Dist: 5 
Round 83: Acc: 0.90100	 Loss: 0.23905	 Msg_len: 20.000	 Edit_Dist: 3 
Round 84: Acc: 0.91700	 Loss: 0.25490	 Msg_len: 18.652	 Edit_Dist: 5 
Round 85: Acc: 0.90400	 Loss: 0.26681	 Msg_len: 18.859	 Edit_Dist: 5 
Round 86: Acc: 0.89800	 Loss: 0.23911	 Msg_len: 20.000	 Edit_Dist: 5 
